row_id,F_score,S_score,SDI,WT2
194,0.875,0.675,-0.19999999999999996,1.020530357
195,0.875,0.8625,-0.012499999999999956,0.953582081
196,1.0,1.0,0.0,1.020530357
197,0.8333333333333334,0.8625,0.029166666666666674,1.224606095
198,0.5,0.5,0.0,1.505742553
199,0.875,0.9875,0.11250000000000004,1.224606095
200,0.5,0.5,0.0,1.523108998
201,0.7916666666666666,0.75,-0.04166666666666663,0.914757209
202,0.75,0.75,0.0,0.920495927
203,0.9166666666666666,0.9375,0.02083333333333337,0.960863917
204,0.5,0.5,0.0,0.960863917
205,0.8333333333333334,0.4875,-0.3458333333333334,0.960863917
206,1.0,0.7875,-0.21250000000000002,0.920495927
207,0.7916666666666666,0.725,-0.06666666666666665,0.676898202
208,0.9583333333333334,0.9,-0.05833333333333335,0.953582081
209,0.75,0.5375,-0.21250000000000002,0.920495927
210,0.7083333333333334,0.5375,-0.1708333333333334,1.224606095
211,0.75,0.55,-0.19999999999999996,1.020530357
212,1.0,1.0,0.0,1.523108998
213,1.0,0.9875,-0.012499999999999956,0.953582081
214,0.875,0.7625,-0.11250000000000004,0.798494233
215,0.75,0.925,0.17500000000000004,0.953582081
216,1.0,1.0,0.0,0.920495927
217,0.75,0.65,-0.09999999999999998,0.676898202
218,0.875,0.7875,-0.08750000000000002,0.490631958
219,0.9583333333333334,0.925,-0.033333333333333326,0.920495927
220,1.0,0.9875,-0.012499999999999956,0.417780933
221,0.5416666666666666,0.5,-0.04166666666666663,1.071922248
222,1.0,1.0,0.0,1.071922248
223,0.75,0.7375,-0.012499999999999956,0.676898202
224,0.9583333333333334,0.9375,-0.02083333333333337,1.020530357
225,1.0,0.8875,-0.11250000000000004,1.166552835
226,0.9166666666666666,0.95,0.033333333333333326,1.020530357
227,1.0,1.0,0.0,0.960863917
228,0.8333333333333334,0.45,-0.38333333333333336,1.505742553
229,0.9583333333333334,0.825,-0.13333333333333341,1.505742553
230,1.0,0.9625,-0.03749999999999998,1.071922248
231,0.9166666666666666,0.725,-0.19166666666666665,0.960863917
232,0.875,0.5875,-0.2875,1.224606095
233,0.7083333333333334,0.6375,-0.07083333333333341,1.071922248
234,1.0,0.7125,-0.2875,0.960863917
235,1.0,0.9125,-0.08750000000000002,1.505742553
236,0.9166666666666666,0.675,-0.24166666666666659,0.960863917
237,0.7916666666666666,0.8,0.008333333333333415,0.798494233
238,1.0,1.0,0.0,1.505742553
239,1.0,1.0,0.0,0.953582081
240,0.9583333333333334,0.9625,0.004166666666666652,0.306045901
241,0.7083333333333334,0.7125,0.004166666666666652,0.960863917
242,0.75,0.7375,-0.012499999999999956,1.015607279
243,0.8333333333333334,0.7625,-0.07083333333333341,1.523108998
244,0.75,0.75,0.0,1.224606095
245,1.0,0.8,-0.19999999999999996,1.166552835
246,0.5,0.5,0.0,0.960863917
247,0.75,0.375,-0.375,1.505742553
248,1.0,0.9875,-0.012499999999999956,0.385135572
249,0.9166666666666666,0.8375,-0.07916666666666661,0.960863917
250,1.0,0.8375,-0.16249999999999998,1.020530357
251,0.5,0.55,0.050000000000000044,0.676898202
252,0.9583333333333334,0.825,-0.13333333333333341,1.020530357
253,0.7916666666666666,0.7,-0.09166666666666667,1.224606095
254,1.0,0.9125,-0.08750000000000002,0.920495927
255,1.0,1.0,0.0,0.562653276
256,1.0,1.0,0.0,1.015607279
257,0.5833333333333334,0.5875,0.004166666666666652,0.920495927
258,1.0,1.0,0.0,0.715034054
259,1.0,0.8125,-0.1875,0.914757209
260,0.9583333333333334,0.7875,-0.1708333333333334,0.914757209
261,1.0,1.0,0.0,1.071922248
262,1.0,1.0,0.0,1.020530357
263,1.0,0.9125,-0.08750000000000002,1.020530357
264,0.625,0.6,-0.025000000000000022,0.920495927
265,1.0,1.0,0.0,1.166552835
266,0.625,0.6875,0.0625,1.020530357
267,0.9166666666666666,0.925,0.008333333333333415,1.166552835
268,1.0,1.0,0.0,0.676898202
269,0.9583333333333334,0.825,-0.13333333333333341,1.166552835
270,0.0,0.0,0.0,1.071922248
271,0.5,0.5,0.0,1.505742553
272,1.0,1.0,0.0,1.505742553
273,0.5,0.5,0.0,0.960863917
274,0.75,0.75,0.0,0.920495927
275,1.0,1.0,0.0,1.505742553
276,1.0,1.0,0.0,1.224606095
277,1.0,0.9625,-0.03749999999999998,0.960863917
278,1.0,1.0,0.0,1.071922248
279,0.9583333333333334,0.7625,-0.19583333333333341,0.960863917
280,0.9583333333333334,0.9,-0.05833333333333335,0.960863917
281,0.875,0.7875,-0.08750000000000002,0.914757209
282,0.7083333333333334,0.575,-0.13333333333333341,0.914757209
283,1.0,1.0,0.0,0.920495927
284,1.0,0.9875,-0.012499999999999956,1.015607279
285,1.0,0.875,-0.125,1.166552835
286,0.7083333333333334,0.6,-0.10833333333333339,0.417780933
287,0.9583333333333334,0.7625,-0.19583333333333341,1.020530357
288,0.9166666666666666,0.9625,0.04583333333333339,1.224606095
289,1.0,0.5375,-0.4625,0.953582081
290,1.0,1.0,0.0,0.676898202
291,1.0,1.0,0.0,0.920495927
292,1.0,1.0,0.0,0.914757209
293,1.0,0.9875,-0.012499999999999956,0.490631958
294,1.0,0.975,-0.025000000000000022,0.920495927
295,1.0,0.9875,-0.012499999999999956,0.562653276
296,0.7916666666666666,0.825,0.033333333333333326,0.206423774
297,0.9583333333333334,0.6875,-0.27083333333333337,1.523108998
298,0.75,0.75,0.0,0.306045901
299,1.0,1.0,0.0,0.798494233
300,0.75,0.825,0.07499999999999996,1.020530357
301,0.75,0.575,-0.17500000000000004,1.020530357
302,0.625,0.6375,0.012499999999999956,0.953582081
303,1.0,0.9875,-0.012499999999999956,1.505742553
304,0.7083333333333334,0.5625,-0.14583333333333337,1.071922248
305,1.0,1.0,0.0,1.015607279
306,0.875,0.825,-0.050000000000000044,1.505742553
307,0.875,0.725,-0.15000000000000002,0.960863917
308,1.0,0.725,-0.275,0.676898202
309,0.6666666666666666,0.5625,-0.10416666666666663,0.676898202
310,0.6666666666666666,0.7375,0.07083333333333341,0.715034054
311,1.0,1.0,0.0,1.015607279
312,0.5,0.525,0.025000000000000022,1.020530357
313,0.75,0.4,-0.35,1.505742553
314,0.6666666666666666,0.575,-0.09166666666666667,0.676898202
315,0.75,0.75,0.0,0.960863917
316,0.75,0.6,-0.15000000000000002,0.953582081
317,1.0,1.0,0.0,1.020530357
318,0.875,0.775,-0.09999999999999998,0.562653276
319,1.0,1.0,0.0,1.148582493
320,0.75,0.6,-0.15000000000000002,1.015607279
321,1.0,0.925,-0.07499999999999996,1.148582493
322,0.9583333333333334,0.9375,-0.02083333333333337,0.417780933
323,0.875,0.925,0.050000000000000044,0.715034054
324,1.0,1.0,0.0,0.715034054
