row_id,F_score,S_score,SDI,WT2
1724,0.9583333333333334,0.9125,-0.04583333333333339,0.594599021
1725,0.9166666666666666,0.925,0.008333333333333415,0.594599021
1726,0.9583333333333334,0.9375,-0.02083333333333337,1.602603829
1727,0.875,0.7875,-0.08750000000000002,0.594599021
1728,0.75,0.75,0.0,0.677589622
1729,1.0,0.975,-0.025000000000000022,0.677589622
1730,1.0,1.0,0.0,0.677589622
1731,0.9583333333333334,0.8375,-0.12083333333333335,0.677589622
1732,0.9583333333333334,0.9125,-0.04583333333333339,1.643303916
1733,1.0,0.875,-0.125,0.84132135
1734,1.0,0.975,-0.025000000000000022,0.538908048
1735,0.9166666666666666,0.9,-0.016666666666666607,1.215484191
1736,0.9583333333333334,0.8125,-0.14583333333333337,1.127635276
1737,0.6666666666666666,0.6875,0.02083333333333337,0.677589622
1738,0.8333333333333334,0.775,-0.05833333333333335,0.491047641
1739,0.9166666666666666,0.875,-0.04166666666666663,0.594599021
1740,0.7916666666666666,0.7,-0.09166666666666667,0.594599021
1741,0.8333333333333334,0.8375,0.004166666666666652,0.594599021
1742,0.75,0.8125,0.0625,0.683504201
1743,0.75,0.7375,-0.012499999999999956,0.594599021
1744,0.7916666666666666,0.825,0.033333333333333326,0.594599021
1745,0.7916666666666666,0.7625,-0.029166666666666674,0.594599021
1746,0.7083333333333334,0.75,0.04166666666666663,1.682143995
1747,0.6666666666666666,0.8375,0.1708333333333334,0.491047641
1748,0.7916666666666666,0.7,-0.09166666666666667,0.683504201
1749,0.8333333333333334,0.7125,-0.12083333333333335,0.533214378
1750,1.0,1.0,0.0,0.932002801
1751,0.875,0.7625,-0.11250000000000004,1.735165786
1752,0.6666666666666666,0.6125,-0.054166666666666585,1.127635276
1753,0.8333333333333334,0.75,-0.08333333333333337,0.94576582
1754,1.0,1.0,0.0,1.127635276
1755,0.9583333333333334,0.8875,-0.07083333333333341,1.127635276
1756,0.9583333333333334,0.975,0.016666666666666607,1.502503257
1757,0.9583333333333334,0.9,-0.05833333333333335,0.533214378
1758,0.9583333333333334,0.9125,-0.04583333333333339,1.643303916
1759,0.9583333333333334,0.9375,-0.02083333333333337,1.602603829
1760,0.8333333333333334,0.8375,0.004166666666666652,1.602603829
1761,1.0,0.95,-0.050000000000000044,1.602603829
1762,0.9583333333333334,0.9125,-0.04583333333333339,1.063276714
1763,0.7916666666666666,0.825,0.033333333333333326,0.538908048
1764,0.9166666666666666,0.9125,-0.004166666666666652,0.594599021
1765,1.0,0.9,-0.09999999999999998,0.903546579
1766,0.9583333333333334,0.8875,-0.07083333333333341,0.594599021
1767,1.0,1.0,0.0,1.602603829
1768,0.9583333333333334,0.9375,-0.02083333333333337,0.932002801
